Survived,Pclass,Age,categorias_edad
0,3,22,jovenes
1,1,38,adultos
1,3,26,adultos
1,1,35,adultos
0,3,35,adultos
0,3,30,adultos
0,1,54,adultos
0,3,2,niños
1,3,27,adultos
1,2,14,niños
1,3,4,niños
1,1,58,adultos
0,3,20,jovenes
0,3,39,adultos
0,3,14,niños
1,2,55,adultos
0,3,2,niños
1,2,30,adultos
0,3,31,adultos
1,3,30,adultos
0,2,35,adultos
1,2,34,adultos
1,3,15,niños
1,1,28,adultos
0,3,8,niños
1,3,38,adultos
0,3,30,adultos
0,1,19,jovenes
1,3,30,adultos
0,3,30,adultos
0,1,40,adultos
1,1,30,adultos
1,3,30,adultos
0,2,66,Ancianos
0,1,28,adultos
0,1,42,adultos
1,3,30,adultos
0,3,21,jovenes
0,3,18,jovenes
1,3,14,niños
0,3,40,adultos
0,2,27,adultos
0,3,30,adultos
1,2,3,niños
1,3,19,jovenes
0,3,30,adultos
0,3,30,adultos
1,3,30,adultos
0,3,30,adultos
0,3,18,jovenes
0,3,7,niños
0,3,21,jovenes
1,1,49,adultos
1,2,29,adultos
0,1,65,Ancianos
1,1,30,adultos
1,2,21,jovenes
0,3,28,adultos
1,2,5,niños
0,3,11,niños
0,3,22,jovenes
1,1,38,adultos
0,1,45,adultos
0,3,4,niños
0,1,30,adultos
1,3,30,adultos
1,2,29,adultos
0,3,19,jovenes
1,3,17,niños
0,3,26,adultos
0,2,32,adultos
0,3,16,niños
0,2,21,jovenes
0,3,26,adultos
1,3,32,adultos
0,3,25,jovenes
0,3,30,adultos
0,3,30,adultos
1,2,1,niños
1,3,30,adultos
0,3,22,jovenes
1,3,29,adultos
1,3,30,adultos
0,1,28,adultos
1,2,17,niños
1,3,33,adultos
0,3,16,niños
0,3,30,adultos
1,1,23,jovenes
0,3,24,jovenes
0,3,29,adultos
0,3,20,jovenes
0,1,46,adultos
0,3,26,adultos
0,3,59,adultos
0,3,30,adultos
0,1,71,Ancianos
1,1,23,jovenes
1,2,34,adultos
0,2,34,adultos
0,3,28,adultos
0,3,30,adultos
0,1,21,jovenes
0,3,33,adultos
0,3,37,adultos
0,3,28,adultos
1,3,21,jovenes
1,3,30,adultos
0,3,38,adultos
1,3,30,adultos
0,1,47,adultos
0,3,14,niños
0,3,22,jovenes
0,3,20,jovenes
0,3,17,niños
0,3,21,jovenes
0,3,70,Ancianos
0,2,29,adultos
